;--- Ab
;; |b_1
|b      |b      Nprop   August
Ab      |b      Nprop   August
;
;; >ab~-ui_1
>b      >ab~    PV_V    desire;aspire
Ab      >ab~    PV_V    desire;aspire
>bb     >abab   PV_C    desire;aspire
Abb     >abab   PV_C    desire;aspire
&b      &ub~    IV_V    desire;aspire
>bb     >obub   IV_C    desire;aspire
Abb     >obub   IV_C    desire;aspire
}b      }ib~    IV_V    desire;aspire
>bb     >obib   IV_C    desire;aspire
Abb     >obib   IV_C    desire;aspire
;; >abAbap_1
>bAb    >abAb   Nap     nostalgia;homesickness
AbAb    >abAb   Nap     nostalgia;homesickness
;
;--- AbA
;; >abAbA_1
>bAbA   >abAbA  Nprop   Ababa
AbAbA   >abAbA  Nprop   Ababa
;
;; |bAd_1
|bAd    |bAd    N0      Abad
>bAd    >abAd   N0      Abad
AbAd    >abAd   N0      Abad
;
;--- Abj
;; >abojad_1
>bjd    >abojad Ndu     alphabet
Abjd    >abojad Ndu     alphabet
;; >abojadiy~_1
>bjdy   >abojadiy~      Nall    alphabetical;elementary     <pos>>abojadiy~/ADJ</pos>
Abjdy   >abojadiy~      Nall    alphabetical;elementary     <pos>>abojadiy~/ADJ</pos>
;; >abojadiy~ap_1
>bjdy   >abojadiy~      NapAt   alphabet     <pos>>abojadiy~/NOUN</pos>
Abjdy   >abojadiy~      NapAt   alphabet     <pos>>abojadiy~/NOUN</pos>
;
;--- Abd
;; >abad-i_1
>bd     >abad   PV      persist;remain;stay
Abd     >abad   PV      persist;remain;stay
>bd     >obid   IV_no-Pref-A    persist;remain;stay
Abd     >obid   IV_no-Pref-A    persist;remain;stay
;; >abad-ui_1
>bd     >abad   PV      be untamed;escape
Abd     >abad   PV      be untamed;escape
>bd     >obud   IV_no-Pref-A    be untamed;escape
Abd     >obud   IV_no-Pref-A    be untamed;escape
>bd     >obid   IV_no-Pref-A    be untamed;escape
Abd     >obid   IV_no-Pref-A    be untamed;escape
;; >ubuwd_1
>bwd    >ubuwd  N       persisting;remaining;staying
Abwd    >ubuwd  N       persisting;remaining;staying
;; >ab~ad_1
>bd     >ab~ad  PV      perpetuate;immortalize
