;--- T
;; TA'_1
TA'     N0_Nh   Ta' (Arabic letter)
TA&     Nh      Ta' (Arabic letter)
TA}     Nhy     Ta' (Arabic letter)
TA'     NAt     Ta's (Arabic letter)
;
;; TA}iy~_1
TA}iy~  N0      Ta'i
;
; TA'ws, TA&ws, TAwws, : see under --- Tws
;
;--- TAb
;; TAb_1
TAb     N/At    palm frond
;; TAbap_1
TAb     Nap     Taba
TAbA    N0      Taba
;; TAbap_2
TAb     NapAt   ball;splint
;
; ;--- TAjy
;; TAjiyk_1
TAjiyk  N0      Tajiks
;; TAjiykiy~_1
TAjiykiy~       Nall    Tajik
;
;; TAjiykisotAn_1
TAjiykisotAn    N0      Tajikistan
tAjiykisotAn    N0      Tajikistan
;; TAjiykisotAniy~_1
TAjiykisotAniy~ Nall    Tajikistani     [[TAjiykisotAniy~/NOUN]]
TAjiykisotAniy~ Nall    Tajikistani     [[TAjiykisotAniy~/ADJ]]
tAjiykisotAniy~ Nall    Tajikistani     [[tAjiykisotAniy~/NOUN]]
tAjiykisotAniy~ Nall    Tajikistani     [[tAjiykisotAniy~/ADJ]]
;
;--- TAz
;; TAzah_1
TAzah   N       fresh;tender
TAz     Nap     fresh;tender
;
;--- TAs
;; TAs_1
TAs     N/At    cup;bowl
TAs     Napdu   cup;pan
;
;--- TATA
;; Ta>oTa>_1
Ta>oTa> PV->    incline;bend
Ta>oTa| PV-|    incline;bend
Ta>oTa& PV_w    incline;bend
Ta>oTi} IV_yu   incline;bend
;; muTa>oTi}_1
muTa>oTi}       Nall    with bowed head     [[muTa>oTi}/ADJ]]
;; muTa>oTa>_1
muTa>oTa>       N0_Nh   bowed;inclined     [[muTa>oTa>/ADJ]]
muTa>oTa&       Nh      bowed;inclined
muTa>oTa}       Nhy     bowed;inclined
muTa>oTa|       N-|     bowed;inclined
muTa>oTa&       Nuwn_Niyn       bowed;inclined
muTa>oTa}       Nuwn_Niyn       bowed;inclined
muTa>oTa        N-|t    bowed;inclined
;
;--- TAmn
;; Ta>oman_1
Ta>oman PV-n    assuage;allay
Ta>omin IV-n_yu assuage;allay
;; taTa>oman_1
taTa>oman       PV-n    assuage;allay
taTa>oman       IV-n    assuage;allay
;
;--- TAwl
;; TAwilap_1
TAwil   Napdu   table
TAwil   NAt     tables
;
;--- Tb
;; Tab~-u_1
Tab~    PV_V    treat medically
Tabab   PV_C    treat medically
Tub~    IV_V    treat medically
Tobub   IV_C    treat medically
Tib~    IV_V    treat medically
Tobib   IV_C    treat medically
;; Tab~ab_1
Tab~ab  PV      treat medically
Tab~ib  IV_yu   treat medically
;; taTab~ab_1
taTab~ab        PV      receive medical treatment
taTab~ab        IV      receive medical treatment
;; AisotaTab~_1
AisotaTab~      PV_V    seek medical treatment;consult
AisotaTobab     PV_C    seek medical treatment;consult
sotaTib~        IV_V    seek medical treatment;consult
sotaTobib       IV_C    seek medical treatment;consult
;; Tib~_1
Tib~    N       medicine;medical treatment
;; Tib~iy~_1
Tib~iy~ N-ap    medical     [[Tib~iy~/ADJ]]
;; Tabiyb_1
Tabiyb  N/ap    physician;doctor
>aTib~A'        N0_Nh   physicians;doctors
>aTib~A&        Nh      physicians;doctors
>aTib~A}        Nhy     physicians;doctors
>aTib~  Nap     physicians;doctors
;; TibAbap_1
TibAb   Nap     medical profession;medical treatment
;; maTab~_1
maTab~  NduAt   pothole;air pocket;wind shear
;; taTobiyb_1
taTobiyb        N/At    medical treatment;medical profession
;; mutaTab~ib_1
mutaTab~ib      Nall    quack;fake physician     [[mutaTab~ib/ADJ]]
;
;--- Tbx
;; Tabax-ua_1
Tabax   PV      cook
Tobux   IV      cook
Tobax   IV      cook
;; AinoTabax_1
AinoTabax       PV      get cooked
noTabix IV      get cooked
;; Tabox_1
Tabox   N       cooking;cuisine
;; Taboxap_1
Tabox   Napdu   meal;dish
Tabax   NAt     meals;dishes
;; Tab~Ax_1
Tab~Ax  Nall    cook;chef
;; Tabiyx_1
Tabiyx  N       cooked food;meal/dish
;; TibAxap_1
TibAx   Nap     cuisine;cooking
;; maTobax_1
maTobax Ndu     kitchen
maTAbix Ndip    kitchens
;; miTobaxap_1
miTobax Nap     cooking apparatus
;; muTayobax_1
muTayobax       NduAt   kitchenette
;; TAbix_1
TAbix   Nall    cook
TAbix   Nall    cooking     [[TAbix/ADJ]]
;; maTobuwx_1
maTobuwx        N-ap    cooked
