;--- Eb
;; Eab~-u_1
Eab~    PV_V    drink;quaff
Eabab   PV_C    drink;quaff
Eub~    IV_V    drink;quaff
Eobub   IV_C    drink;quaff
;; Eab~_1
Eab~    N       drinking;quaffing
;; EubAb_1
EubAb   N       ocean waves;flood
;; yaEobuwb_1
yaEobuwb        Ndu     torrent
yaEAbiyb        Ndip    torrents
;
;--- EbA
;; EabaO-a_1
EabaO   PV-O    care about;be concerned about
Eaba|   PV-|    care about;be concerned about
EabaW   PV_w    care about;be concerned about
EobaO   IV      care about;be concerned about
Eoba|   IV-|    care about;be concerned about
EobaW   IV_wn   care about;be concerned about
Eoba}   IV_yn   care about;be concerned about
;; Eab~aO_1
Eab~aO  PV-O    load;mobilize;put on alert
Eab~a|  PV-|    load;mobilize;put on alert
Eab~aW  PV_w    load;mobilize;put on alert
Eab~i}  IV_yu   load;mobilize;put on alert
;; Eibo'_1
Eibo'   Ndu     load;burden
EiboW   Nh      load;burden
Eibo}   Nhy     load;burden
Eibo}   N0F     load;burden
OaEobA' N0_Nh   burdens;loads
OaEobAW Nh      burdens;loads
OaEobA} Nhy     burdens;loads
;; EabA'_1
EabA'   N0_Nh   cloak
EabAW   Nh      cloak
EabA}   Nhy     cloak
OaEobi} Nap     cloaks
;; EabAyap_1
EabAy   NapAt   cloak
EabA'   NapAt   cloak
;; taEobi}ap_1
taEobi} NapAt   mobilization;alert
;; taEobAwiy~_1
taEobAwiy~      Nall    tactical     [[taEobAwiy~/ADJ]]
taEobawiy~      Nall    tactical     [[taEobawiy~/ADJ]]
;; EAbi}_1
EAbi}   Nall    caring about;preoccupied with     [[EAbi}/ADJ]]
;; muEab~aO_1
muEab~aO        N0_Nh   packaged;packed in sacks     [[muEab~aO/ADJ]]
muEab~aW        Nh      packaged;packed in sacks
muEab~a}        Nhy     packaged;packed in sacks
muEab~a|        N-|     packaged;packed in sacks
muEab~a N-|t    packaged;packed in sacks
muEab~aO        Napdu   packaged;packed in sacks
;
;--- Ebv
;; Eabiv-a_1
Eabiv   PV      amuse oneself;manipulate
Eobav   IV      amuse oneself;manipulate
;; EAbav_1
EAbav   PV      banter with
EAbiv   IV_yu   banter with
;; Eabav_1
Eabav   N       play;jest;frivolity
;; EabavAF_1
Eabav   NF      unnecessarily;futile     [[Eabav/ADV]]
;; muEAbavap_1
muEAbav NapAt   jesting;banter;play
;; EAbiv_1
EAbiv   Nall    scornful;frivolous;jesting     [[EAbiv/ADJ]]
;
;--- Ebd
;; Eabad-u_1
Eabad   PV      worship
Eobud   IV      worship
;; Eab~ad_1
Eab~ad  PV      enslave
Eab~id  IV_yu   enslave
;; taEab~ad_1
taEab~ad        PV_intr be devoted
taEab~ad        IV_intr be devoted
;; AisotaEobad_1
AisotaEobad     PV      enslave
sotaEobid       IV      enslave
;; Eabod_1
Eabod   N0      Abd
;; Eabod_2
Eabod   Ndu     slave;servant
Eabod   Napdu   slave girl
Eabod   NAt     slave girls
