;--- j
;; ju&oju&_1
j&j&    ju&oju& Ndu     breast;prow
j&j}    ju&oju} Nhy     breast;prow
j|j}    ja|ji}  Ndip    breasts;prows
;
;; jAbuwn_1
jAbwn   jAbuwn  N       Gabon
;; jAbuwniy~_1
jAbwny  jAbuwniy~       Nall    Gabonian
;
;; jAtuwrAbAtArAbuwng_1
jAtwrAbAtArAbwng        jAtuwrAbAtArAbuwng      Nprop   Jatupatarapong
;
;; jAdAllh_1
jAdAllh jAdAll~`h       N0      Jadallah;Gadallah
;
;; jAdiyr_1
jAdyr   jAdiyr  N0      Jadir
;
;--- jAr
;; ja>ar-a_1
j>r     ja>ar   PV      moo;supplicate
j>r     jo>ar   IV      moo;supplicate
;; ja>or_1
j>r     ja>or   N       lowing;mooing
;; ju&Ar_1
j&Ar    ju&Ar   N       lowing;mooing
;
;; jArAnoj_1
jArAnj  jArAnoj N0      Garang
;
;; jArodiyAn_1
jArdyAn jArodiyAn       N0      Guardian
gArdyAn gArodiyAn       N0      Guardian
;
;; jAz_1
jAz     jAz     N/At    gasoline;kerosene
;; jAz_2
jAz     jAz     N       jazz
;; jAz_3
jAz     jAz     N0      Jazz
;
;; jAzAn_1
jAzAn   jAzAn   Nprop   Jazan
;
;; jAzuwn_1
jAzwn   jAzuwn  N       lawn
;
;; jAsotiyn_1
jAstyn  jAsotiyn        Nprop   Justin
;
;; ja>a$-a_1
j>$     ja>a$   PV_intr be agitated;be convulsed
j>$     jo>a$   IV_intr be agitated;be convulsed
;; ja>o$_1
j>$     ja>o$   N       agitation;composure
;
;; jAguwAr_1
jAgwAr  jAguwAr Nprop   Jaguar
;
;; jAk_1
jAk     jAk     Nprop   Jacques;Jack
;
;; jAkArotA_1
jAkArtA jAkArotA        Nprop   Jakarta
jAkrtA  jAkarotA        Nprop   Jakarta
;
;; jAkit_1
jAkt    jAkit   N/ap    jacket
jAkyt   jAkiyt  N/ap    jacket
;
;; jAkosuwn_1
jAkswn  jAkosuwn        Nprop   Jackson
;
;; jAlA_1
jAlA    jAlA    FW      Jala     <pos>jAlA/NOUN_PROP</pos>
;
;; jAluwt_1
jAlwt   jAluwt  Ndip    Goliath
;
;; jAluwn_1
jAlwn   jAluwn  NduAt   gallon
;
;; jAm_1
jAm     jAm     N/At    cup;bowl
;
;; jAmA_1
jAmA    jAmA    N0      gamma
;
;; jAmuw_1
jAmw    jAmuw   N0      Jammu
;
;; jAn_1
jAn     jAn     Nprop   Jean;Jan
;
;; jAnofrAnokuw_1
jAnfrAnkw       jAnofrAnokuw    Nprop   Gianfranco
;; jAnoluwkA_1
jAnlwkA jAnoluwkA       Nprop   Gianluca
;; jAnoluwiyjiy_1
jAnlwyjy        jAnoluwiyjiy    Nprop   Gianluigi
;
;; jAnfiy_1
jAnfy   jAnfiy  N0      January
;
;; jAniyruw_1
jAnyrw  jAniyruw        Nprop   Janeiro
;
;; jAh_1
jAh     jAh     N       rank;dignity
;
;; jAwah_1
jAwh    jAwah   Ndip    Java
jAwA    jAwA    N0      Java
;; jAwiy~_1
jAwy    jAwiy~  Nall    Javanese     <pos>jAwiy~/NOUN</pos>
jAwy    jAwiy~  Nall    Javanese     <pos>jAwiy~/ADJ</pos>
;
;; jAwiy$_1
jAwy$   jAwiy$  N       sergeant
;
;; jAyomiy_1
jAymy   jAyomiy Nprop   Jamie
;
;; jab~-u_1
jb      jab~    PV_V    pollinate
jbb     jabab   PV_C    pollinate
jb      jub~    IV_V    pollinate
jbb     jobub   IV_C    pollinate
;; jub~_1
jb      jub~    Ndu     cistern;pit
>jbAb   >ajobAb N       cisterns;pits
AjbAb   >ajobAb N       cisterns;pits
jbAb    jibAb   N       cisterns;pits
;; jub~ap_1
jb      jub~    Napdu   jubbah
jbb     jubab   N       jubbahs
jbA}b   jabA}ib Ndip    jubbahs
jbAb    jibAb   N       jubbahs
;
;; jaboH_1
jbH     jaboH   Ndu     beehive
>jbH    >ajobuH N       beehives
