;--- Eb
;; Eab~-u_1
Eb      Eab~    PV_V    drink;quaff
Ebb     Eabab   PV_C    drink;quaff
Eb      Eub~    IV_V    drink;quaff
Ebb     Eobub   IV_C    drink;quaff
;; Eab~_1
Eb      Eab~    N       drinking;quaffing
;; EubAb_1
EbAb    EubAb   N       ocean waves;flood
;; yaEobuwb_1
yEbwb   yaEobuwb        Ndu     torrent
yEAbyb  yaEAbiyb        Ndip    torrents
;
;--- EbA
;; Eaba>-a_1
Eb>     Eaba>   PV->    care about;be concerned about
Eb|     Eaba|   PV-|    care about;be concerned about
Eb&     Eaba&   PV_w    care about;be concerned about
Eb>     Eoba>   IV      care about;be concerned about
Eb|     Eoba|   IV-|    care about;be concerned about
Eb&     Eoba&   IV_wn   care about;be concerned about
Eb}     Eoba}   IV_yn   care about;be concerned about
;; Eab~a>_1
Eb>     Eab~a>  PV->    load;mobilize;put on alert
Eb|     Eab~a|  PV-|    load;mobilize;put on alert
Eb&     Eab~a&  PV_w    load;mobilize;put on alert
Eb}     Eab~i}  IV_yu   load;mobilize;put on alert
;; Eibo'_1
Eb'     Eibo'   Ndu     load;burden
Eb&     Eibo&   Nh      load;burden
Eb}     Eibo}   Nhy     load;burden
Eb}     Eibo}   N0F     load;burden
>EbA'   >aEobA' N0_Nh   burdens;loads
AEbA'   >aEobA' N0_Nh   burdens;loads
>EbA&   >aEobA& Nh      burdens;loads
AEbA&   >aEobA& Nh      burdens;loads
>EbA}   >aEobA} Nhy     burdens;loads
AEbA}   >aEobA} Nhy     burdens;loads
;; EabA'_1
EbA'    EabA'   N0_Nh   cloak
EbA&    EabA&   Nh      cloak
EbA}    EabA}   Nhy     cloak
>Eb}    >aEobi} Nap     cloaks
AEb}    >aEobi} Nap     cloaks
;; EabAyap_1
EbAy    EabAy   NapAt   cloak
EbA'    EabA'   NapAt   cloak
;; taEobi}ap_1
tEb}    taEobi} NapAt   mobilization;alert
;; taEobAwiy~_1
tEbAwy  taEobAwiy~      Nall    tactical     <pos>taEobAwiy~/ADJ</pos>
tEbwy   taEobawiy~      Nall    tactical     <pos>taEobawiy~/ADJ</pos>
;; EAbi}_1
EAb}    EAbi}   Nall    caring about;preoccupied with     <pos>EAbi}/ADJ</pos>
;; muEab~a>_1
mEb>    muEab~a>        N0_Nh   packaged;packed in sacks     <pos>muEab~a>/ADJ</pos>
mEb&    muEab~a&        Nh      packaged;packed in sacks
mEb}    muEab~a}        Nhy     packaged;packed in sacks
mEb|    muEab~a|        N-|     packaged;packed in sacks
mEb     muEab~a N-|t    packaged;packed in sacks
mEb>    muEab~a>        Napdu   packaged;packed in sacks
;
;--- Ebv
;; Eabiv-a_1
Ebv     Eabiv   PV      amuse oneself;manipulate
Ebv     Eobav   IV      amuse oneself;manipulate
;; EAbav_1
EAbv    EAbav   PV      banter with
EAbv    EAbiv   IV_yu   banter with
;; Eabav_1
Ebv     Eabav   N       play;jest;frivolity
;; EabavAF_1
Ebv     Eabav   NF      unnecessarily;futile     <pos>Eabav/ADV</pos>
;; muEAbavap_1
mEAbv   muEAbav NapAt   jesting;banter;play
;; EAbiv_1
EAbv    EAbiv   Nall    scornful;frivolous;jesting     <pos>EAbiv/ADJ</pos>
;
;--- Ebd
;; Eabad-u_1
Ebd     Eabad   PV      worship
Ebd     Eobud   IV      worship
;; Eab~ad_1
Ebd     Eab~ad  PV      enslave
Ebd     Eab~id  IV_yu   enslave
;; taEab~ad_1
tEbd    taEab~ad        PV_intr be devoted
tEbd    taEab~ad        IV_intr be devoted
;; {isotaEobad_1
<stEbd  {isotaEobad     PV      enslave
AstEbd  {isotaEobad     PV      enslave
stEbd   sotaEobid       IV      enslave
;; Eabod_1
Ebd     Eabod   N0      Abd
;; Eabod_2
Ebd     Eabod   Ndu     slave;servant
Ebd     Eabod   Napdu   slave girl
Ebd     Eabod   NAt     slave girls
Ebyd    Eabiyd  N       slaves;blacks
EbdAn   EubodAn N       slaves
; ------------
; run-on names: Ebd +
;; EabodAl>amiyr_1
EbdAl>myr       EabodAl>amiyr   Nprop   Abdel Amir
EbdAlAmyr       EabodAl>amiyr   Nprop   Abdel Amir
;; EabodAl<ilah_1
EbdAl<lh        EabodAl<ilah    Nprop   Abdel Ilah
EbdAlAlh        EabodAl<ilah    Nprop   Abdel Ilah
;; EabodAlbAriy_1
EbdAlbAry       EabodAlbAriy    Nprop   Abdel Bari
;; EabodAlbAsiT_1
EbdAlbAsT       EabodAlbAsiT    Nprop   Abdel Basit
;; EabodAlbAqiy_1
EbdAlbAqy       EabodAlbAqiy    Nprop   Abdel Baqi
;; EabodAlbadiyE_1
EbdAlbdyE       EabodAlbadiyE   Nprop   Abdel Badii
;; EabodAltaw~Ab_1
EbdAltwAb       EabodAltaw~Ab   Nprop   Abdel Tawwab
;; EabodAljAbir_1
EbdAljAbr       EabodAljAbir    Nprop   Abdel Jabir
;; EabodAljab~Ar_1
EbdAljbAr       EabodAljab~Ar   Nprop   Abdel Jabbar
;; EabodAljaliyl_1
EbdAljlyl       EabodAljaliyl   Nprop   Abdel Jalil
;; EabodAljawAd_1
EbdAljwAd       EabodAljawAd    Nprop   Abdel Jawad
;; EabodAlHAriv_1
EbdAlHArv       EabodAlHAriv    Nprop   Abdel Harith
;; EabodAlHAfiZ_1
EbdAlHAfZ       EabodAlHAfiZ    Nprop   Abdel Hafiz
;; EabodAlHAkim_1
EbdAlHAkm       EabodAlHAkim    Nprop   Abdel Hakim
;; EabodAlHabiyb_1
EbdAlHbyb       EabodAlHabiyb   Nprop   Abdel Habib
;; EabodAlHasan_1
EbdAlHsn        EabodAlHasan    Nprop   Abdel Hassan
;; EabodAlHasiyb_1
EbdAlHsyb       EabodAlHasiyb   Nprop   Abdel Haseeb
;; EabodAlHusayon_1
EbdAlHsyn       EabodAlHusayon  Nprop   Abdel Hussein
;; EabodAlHafiyZ_1
EbdAlHfyZ       EabodAlHafiyZ   Nprop   Abdel Hafeez
;; EabodAlHaq~_1
EbdAlHq EabodAlHaq~     Nprop   Abdel Haqq
;; EabodAlHakam_1
